step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
0,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,0.129,0.0,0.016,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.3529411764705883,42837.0,42837.0,0.0,42837.0,42837.0,42837.0,0.942,0.116,0.006,0.01,0.225,0.026,0.01,-0.0,0.007,-0.001,0.0,0.638,0.197,64.533,74.318,141.04,0.0,1.0,0.0,-0.078,0.0,-0.1,-0.078,0.0,-0.1,-0.004,0.147,-0.087,-0.004,0.147,-0.087,103.375,128.0,48.0,0.3,967.55,2171.0,211.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,10.495,0.015,2.972,13.028,0.009,7.966,34.493,2.538,0.186,0.304,0.0,42837.0,34.493,1241.899,
2,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.3529411764705883,45812.0,45812.0,0.0,45812.0,45812.0,45812.0,0.804,0.184,0.005,0.01,0.475,0.005,0.01,0.0,0.008,0.002,0.0,1.013,0.224,66.014,74.318,140.931,0.0,2.0,0.0,-0.052,0.0,-0.1,-0.052,0.0,-0.1,-0.008,0.14,-0.117,-0.008,0.14,-0.117,96.525,128.0,56.0,0.275,1048.775,2524.0,207.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.088,0.016,2.191,6.109,0.008,7.489,24.908,2.354,0.163,0.133,0.0,45812.0,24.908,1839.267,
3,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.6666666666666667,54748.0,54748.0,0.0,54748.0,54748.0,54748.0,0.938,0.236,0.006,0.011,0.625,0.017,0.01,0.0,0.009,0.0,0.0,0.765,0.253,66.014,74.318,141.075,0.0,3.0,0.0,-0.038,0.0,-0.1,-0.038,0.0,-0.1,-0.006,0.11,-0.165,-0.006,0.11,-0.165,94.025,128.0,37.0,0.225,1274.675,2368.0,196.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.662,0.018,2.24,6.146,0.009,8.028,26.109,2.569,0.147,0.112,0.0,54748.0,26.109,2096.902,
4,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.2222222222222223,38042.0,38042.0,0.0,38042.0,38042.0,38042.0,0.921,0.221,0.006,0.011,0.625,0.035,0.01,-0.0,0.009,0.0,0.0,0.962,0.204,66.014,74.318,141.189,0.0,4.0,0.0,-0.038,0.0,-0.1,-0.038,0.0,-0.1,-0.01,0.127,-0.147,-0.01,0.127,-0.147,98.325,128.0,43.0,0.25,852.725,1822.0,204.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.319,0.015,2.078,6.053,0.008,6.737,24.216,2.369,0.177,0.159,0.0,38042.0,24.216,1570.949,
5,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.2941176470588234,38695.0,38695.0,0.0,38695.0,38695.0,38695.0,0.696,0.154,0.005,0.01,0.872,0.027,0.01,0.0,0.005,0.001,0.0,0.52,0.201,66.014,74.318,141.277,0.0,5.0,0.0,-0.013,0.0,-0.1,-0.013,0.0,-0.1,-0.006,0.07,-0.156,-0.006,0.07,-0.156,93.667,128.0,48.0,0.154,898.513,1530.0,197.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.094,8.994,0.015,2.046,5.92,0.008,6.975,23.963,2.462,0.18,0.153,0.0,38695.0,23.963,1614.799,
6,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.8095238095238095,41140.0,41140.0,0.0,41140.0,41140.0,41140.0,0.61,0.109,0.005,0.01,0.921,0.007,0.01,0.0,0.002,0.0,0.0,0.337,0.218,66.014,74.318,141.339,0.0,6.0,0.0,-0.008,0.0,-0.1,-0.008,0.0,-0.1,-0.004,0.087,-0.157,-0.004,0.087,-0.157,93.053,128.0,54.0,0.132,989.579,1935.0,209.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.0,9.142,0.015,2.09,5.824,0.008,6.848,23.933,2.585,0.166,0.142,0.0,41140.0,23.933,1718.937,
7,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.9,41832.0,41832.0,0.0,41832.0,41832.0,41832.0,0.656,0.108,0.005,0.009,0.895,0.046,0.01,0.0,0.002,0.001,0.0,0.361,0.224,66.014,74.318,141.36,0.0,7.0,0.0,-0.011,0.0,-0.1,-0.011,0.0,-0.1,-0.006,0.087,-0.14,-0.006,0.087,-0.14,91.237,128.0,49.0,0.079,1009.605,1852.0,197.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.069,9.346,0.015,2.058,5.799,0.008,6.801,24.031,2.696,0.163,0.139,0.0,41832.0,24.031,1740.743,
8,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,0.096,0.0,0.016,0.036,1.8181818181818181,47469.0,47469.0,0.0,47469.0,47469.0,47469.0,0.677,0.074,0.005,0.009,0.775,0.019,0.01,-0.0,0.004,0.0,0.0,0.692,0.232,66.014,74.318,141.407,0.0,8.0,0.0,-0.023,0.0,-0.1,-0.023,0.0,-0.1,-0.004,0.107,-0.147,-0.004,0.107,-0.147,83.05,128.0,39.0,0.1,1103.675,2271.0,205.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.104,9.234,0.018,2.227,6.113,0.008,7.508,443.429,2.78,0.158,0.129,0.0,47469.0,443.429,107.05,418.316
9,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.2222222222222223,40338.0,40338.0,0.0,40338.0,40338.0,40338.0,0.735,0.139,0.006,0.01,0.875,0.015,0.01,-0.0,0.008,0.001,0.0,0.558,0.187,66.014,74.318,141.453,0.0,9.0,0.0,-0.013,0.0,-0.1,-0.013,0.0,-0.1,-0.002,0.06,-0.16,-0.002,0.06,-0.16,85.675,128.0,33.0,0.075,922.775,1467.0,214.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.789,0.015,2.147,6.124,0.008,7.803,24.894,2.565,0.193,0.152,0.0,40338.0,24.894,1620.371,
