step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
0,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,0.096,0.0,0.016,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6521739130434783,47055.0,47055.0,0.0,47055.0,47055.0,47055.0,0.174,0.052,0.001,0.005,0.974,0.0,0.01,-0.0,0.0,-0.001,0.0,0.172,0.222,65.197,75.424,124.754,0.0,1.0,0.0,-0.003,0.0,-0.1,-0.003,0.0,-0.1,-0.002,0.06,-0.14,-0.002,0.06,-0.14,24.553,60.0,15.0,0.0,1213.737,2378.0,211.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.089,7.598,0.018,3.363,11.578,0.009,7.806,30.383,0.166,0.0,8.144,0.246,47055.0,30.383,1548.753,
2,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.625,45769.0,45769.0,0.0,45769.0,45769.0,45769.0,0.25,0.055,0.001,0.005,1.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.013,0.242,65.712,75.424,124.986,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.974,83.0,15.0,0.0,1150.59,2494.0,207.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.1,6.939,0.017,2.241,5.975,0.009,6.954,22.141,0.152,0.0,7.745,0.131,45769.0,22.141,2067.163,
3,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.8095238095238095,40418.0,40418.0,0.0,40418.0,40418.0,40418.0,0.107,0.031,0.001,0.004,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.012,0.216,65.712,75.424,125.086,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.711,54.0,15.0,0.0,1040.921,2399.0,196.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.021,6.679,0.016,2.041,5.767,0.008,6.833,21.35,0.169,0.0,7.739,0.143,40418.0,21.35,1893.145,
4,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.8571428571428572,39837.0,39837.0,0.0,39837.0,39837.0,39837.0,0.157,0.062,0.002,0.006,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.014,0.201,65.712,75.424,125.157,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41,66.0,15.0,0.0,999.051,1667.0,204.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.055,6.375,0.016,2.051,5.909,0.008,7.203,21.568,0.181,0.0,7.294,0.148,39837.0,21.568,1847.025,
5,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6666666666666667,42098.0,42098.0,0.0,42098.0,42098.0,42098.0,0.219,0.044,0.002,0.005,1.0,0.001,0.01,0.0,0.0,-0.001,0.0,0.014,0.208,65.712,75.424,125.609,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.075,54.0,15.0,0.0,1031.375,1880.0,197.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,6.824,0.016,2.171,6.134,0.008,7.358,22.518,0.175,0.0,8.095,0.146,42098.0,22.518,1869.542,
6,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.8421052631578947,32475.0,32475.0,0.0,32475.0,32475.0,32475.0,0.688,0.053,0.002,0.005,1.0,0.001,0.01,0.0,0.0,-0.002,0.0,0.022,0.192,65.712,75.424,125.686,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.143,86.0,15.0,0.0,896.714,2322.0,209.0,0.0,0.0,0.0,0.0,4.375,5.0,3.0,0.0,0.0,0.112,7.023,0.013,1.861,5.299,0.008,6.123,20.331,0.189,0.0,6.443,0.163,32475.0,20.331,1597.346,
7,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.9047619047619047,42200.0,42200.0,0.0,42200.0,42200.0,42200.0,0.221,0.054,0.002,0.006,1.0,0.001,0.01,0.0,0.0,-0.001,0.0,0.014,0.225,65.712,75.424,125.764,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,66.0,15.0,0.0,1031.8,2196.0,197.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.094,8.497,0.026,2.095,6.043,0.008,6.864,23.541,0.163,0.0,9.156,0.143,42200.0,23.541,1792.61,
8,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,0.865,0.0,0.094,0.135,1.6521739130434783,39279.0,39279.0,0.0,39279.0,39279.0,39279.0,0.349,0.056,0.002,0.006,0.974,0.0,0.01,0.0,0.001,0.001,0.0,0.228,0.218,65.712,75.424,125.859,0.0,8.0,0.0,-0.003,0.0,-0.1,-0.003,0.0,-0.1,-0.001,0.043,-0.157,-0.001,0.043,-0.157,21.237,51.0,15.0,0.0,1012.421,2270.0,205.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.0,6.104,0.027,1.993,5.917,0.015,6.572,362.89,0.167,0.0,7.564,0.151,39279.0,362.89,108.24,342.255
9,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6521739130434783,40834.0,40834.0,0.0,40834.0,40834.0,40834.0,0.226,0.032,0.001,0.005,1.0,0.001,0.01,0.0,0.0,-0.0,0.0,0.018,0.211,65.712,75.424,131.546,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.447,68.0,15.0,0.0,1052.132,1960.0,214.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.056,6.539,0.026,1.98,5.892,0.008,7.038,21.492,0.172,0.0,7.666,0.144,40834.0,21.492,1899.952,
